S,T,K,r,v0,kappa,theta,xi,rho,call,put
142.307692,0.350000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,44.095214,0.052746
108.974359,0.250000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,11.335629,1.119050
134.615385,1.850000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,45.329599,1.879135
132.051282,0.750000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,36.403696,0.671856
150.000000,0.300000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,51.501920,0.013114
103.846154,1.750000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,17.594748,5.370481
50.000000,0.300000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,-0.000000,48.511194
147.435897,0.600000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,50.558454,0.167110
98.717949,1.700000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,13.521404,6.654684
142.307692,0.750000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,46.358541,0.370290
83.333333,1.150000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,2.495674,13.574529
91.025641,0.150000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.315588,8.542753
67.948718,2.000000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.709252,23.244276
50.000000,1.000000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.000011,45.122953
121.794872,0.150000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,22.594554,0.052487
52.564103,0.750000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.000002,43.755341
96.153846,1.250000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,9.356673,7.144133
137.179487,1.600000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,46.216939,1.349087
67.948718,1.000000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.053385,27.227609
91.025641,1.550000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,7.824643,9.341704
50.000000,0.500000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,-0.000000,47.530991
126.923077,1.550000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,36.337449,1.957075
124.358974,0.950000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,30.397663,1.399736
101.282051,1.950000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,16.614909,6.043092
114.102564,0.700000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,19.454794,1.912771
78.205128,1.800000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,3.140757,16.328747
121.794872,0.500000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,25.008551,0.744670
65.384615,1.000000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.021430,29.759757
83.333333,0.800000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,1.257337,14.002947
98.717949,1.100000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,10.149012,6.079578
52.564103,1.350000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.001983,40.910653
126.923077,1.950000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,38.722731,2.509888
124.358974,1.000000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,30.712678,1.476646
121.794872,0.350000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,23.946869,0.417220
80.769231,1.350000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,2.383773,15.087314
150.000000,2.000000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,60.892220,1.375962
124.358974,1.400000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,33.139488,2.019896
137.179487,1.500000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,45.691146,1.286007
62.820513,1.400000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.068224,30.487093
101.282051,0.750000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,9.593631,4.631022
75.641026,0.450000,100,0.050000,0.040000,2.000000,0.040000,0.300000,-0.700000,0.016776,22.150874
